date,balance,count
2016-06-19,473.175547,21
2016-06-26,473.175347,22
2016-07-03,498.169379,22
2016-07-10,498.169268,22
2016-07-17,498.168352,22
2016-07-24,498.168267,22
2016-07-31,498.166877,23
2016-08-07,510.16325,23
2016-08-14,510.163249,23
2016-08-21,510.162934,23
2016-08-28,510.162439,23
2016-09-04,509.811997,23
2016-09-11,509.811907,23
2016-09-18,509.811633,23
2016-09-25,509.811467,23
2016-10-02,509.800507,23
2016-10-09,509.800454,23
2016-10-16,509.800454,23
2016-10-23,509.800434,23
2016-10-30,509.800267,23
2016-11-06,559.800267,24
2016-11-13,559.800267,24
2016-11-20,559.788572,24
2016-11-27,559.788445,24
2016-12-04,559.788185,24
2016-12-11,559.788185,24
2016-12-18,559.788185,24
2016-12-25,559.05926,24
2017-01-01,559.05865,24
2017-01-08,559.051829,24
2017-01-15,559.051804,24
2017-01-22,559.051773,24
2017-01-29,559.051672,24
2017-02-05,559.051452,24
2017-02-12,559.05104,24
2017-02-19,559.050923,24
2017-02-26,559.050893,24
2017-03-05,556.526822,24
2017-03-12,556.52675,24
2017-03-19,556.52675,25
2017-03-26,856.489231,26
2017-04-02,862.23302,26
2017-04-09,862.229614,26
2017-04-16,862.222426,26
2017-04-23,865.622412,27
2017-04-30,888.1789220000001,28
2017-05-07,887.291567,28
2017-05-14,885.88254,28
2017-05-21,866.988494,28
2017-05-28,863.666683,28
2017-06-04,856.284333,29
2017-06-11,842.72937,30
2017-06-18,849.301729,29
2017-06-25,844.983973,29
2017-07-02,839.299131,29
2017-07-09,839.298931,30
2017-07-16,909.120374,30
2017-07-23,1008.783771,30
2017-07-30,1008.363817,30
2017-08-06,1007.362044,31
2017-08-13,1017.332178,31
2017-08-20,1017.223202,31
2017-08-27,1041.223202,31
2017-09-03,1041.222512,31
2017-09-10,1061.222512,32
2017-09-17,1061.222492,32
2017-09-24,1061.222492,32
2017-10-01,1079.622478,33
2017-10-08,1069.790011,33
2017-10-15,1069.790011,33
2017-10-22,1069.790011,33
2017-10-29,1069.789832,34
2017-11-05,1098.592035,36
2017-11-12,1156.417036,40
2017-11-19,1177.098622,43
2017-11-26,1204.898571,45
2017-12-03,1228.868311,47
2017-12-10,1235.434572,51
2017-12-17,1362.534482,53
2017-12-24,1392.884402,60
2017-12-31,1532.416133,65
2018-01-07,1551.269876,65
2018-01-14,1551.269854,65
2018-01-21,1551.269844,66
2018-01-28,1581.269844,67
2018-02-04,1601.269844,69
2018-02-11,1634.821244,70
2018-02-18,1657.821244,70
2018-02-25,1657.821234,70
2018-03-04,1657.821194,72
2018-03-11,1684.731094,75
2018-03-18,1753.830794,78
2018-03-25,1783.996538,79
2018-04-01,1805.970832,79
2018-04-08,1803.041399,79
2018-04-15,1803.040869,79
2018-04-22,1809.040859,81
2018-04-29,1812.090829,83
2018-05-06,1868.620489,83
2018-05-13,1868.620225,83
2018-05-20,1868.619927,83
2018-05-27,1868.619616,83
2018-06-03,1868.61916,85
2018-06-10,1873.568744,88
2018-06-17,1880.216116,89
2018-06-24,1883.591964,91
2018-07-01,1882.668179,93
2018-07-08,1882.191046,95
2018-07-15,1882.031491,96
2018-07-22,1916.556476,100
2018-07-29,1943.159278,103
2018-08-05,1953.717791,106
2018-08-12,1989.003507,107
2018-08-19,1992.791327,109
2018-08-26,1998.749726,109
2018-09-02,2019.364038,109
2018-09-09,1993.474752,109
2018-09-16,1993.464161,110
2018-09-23,2004.328783,110
2018-09-30,1999.277509,110
2018-10-07,1993.628257,110
2018-10-14,1993.628257,110
2018-10-21,1993.627414,111
2018-10-28,2002.139906,110
2018-11-04,1999.841118,109
2018-11-11,2012.8405,113
2018-11-18,2049.314284,116
2018-11-25,2095.800004,121
2018-12-02,2162.346909,122
2018-12-09,2165.821306,122
2018-12-16,2203.971312,127
2018-12-23,2215.060769,132
2018-12-30,2263.818751,132
2019-01-06,2258.44352,132
2019-01-13,2258.440091,132
2019-01-20,2263.528947,133
2019-01-27,2523.527413,136
2019-02-03,2531.939861,136
2019-02-10,2528.773128,138
2019-02-17,2528.773128,138
2019-02-24,2525.684283,136
2019-03-03,2529.008559,142
2019-03-10,2990.79992,148
2019-03-17,3012.519735,152
2019-03-24,3271.640278,158
2019-03-31,3526.316371,164
2019-04-07,3548.941317,169
2019-04-14,3610.808472,173
2019-04-21,3721.262986,178
2019-04-28,3721.037418,178
2019-05-05,3717.863873,177
2019-05-12,3711.86004,177
2019-05-19,3698.364624,176
2019-05-26,3688.664125,174
2019-06-02,3683.805823,175
2019-06-09,3681.992927,176
2019-06-16,3695.463011,179
2019-06-23,3701.215787,181
2019-06-30,3718.308142,182
2019-07-07,3687.132049,183
2019-07-14,3687.952667,183
2019-07-21,3692.419168,184
2019-07-28,3688.068895,185
2019-08-04,3669.565295,185
2019-08-11,3660.451592,185
2019-08-18,3636.63229,188
2019-08-25,3644.069841,191
2019-09-01,3626.080381,191
2019-09-08,3577.321241,190
2019-09-15,3442.716913,190
2019-09-22,3380.173888,191
2019-09-29,3405.64151,192
2019-10-06,3405.64151,192
2019-10-13,3386.364385,192
2019-10-20,3396.948206,196
2019-10-27,3405.977103,199
2019-11-03,3931.633497,208
2019-11-10,4343.84679,208
2019-11-17,4381.110853,211
2019-11-24,4474.544249,213
2019-12-01,4497.75637,213
2019-12-08,4523.451593,216
2019-12-15,4518.9716,220
2019-12-22,4609.841036,228
2019-12-29,4708.679711,237
2020-01-05,4785.157269,247
2020-01-12,4833.3408230000005,249
2020-01-19,4928.49152,252
2020-01-26,4924.756273,252
2020-02-02,4913.334287,251
2020-02-09,4913.334287,251
2020-02-16,4907.168957,253
2020-02-23,4915.081152,251
2020-03-01,4910.410888,252
2020-03-08,4957.164482,258
2020-03-15,4967.267342,266
2020-03-22,4965.213673,268
2020-03-29,4961.492135,266
2020-04-05,4951.115923,264
2020-04-12,4987.564364,267
2020-04-19,5067.566381,276
2020-04-26,5083.198894,279
